date,model,params,seed,train_acc,test_acc,f1,fpr
2026-09-09,baseline_tfidf_logreg,"{""features"": ""tfidf word(1,2) + tfidf char_wb(3,5)"", ""clf"": ""LogisticRegression"", ""C"": 3, ""class_weight"": ""balanced"", ""max_iter"": 1000, ""C_grid"": [0.3, 1, 3]}",42,0.9995,0.9922,0.9677,0.0022
2026-09-09,baseline_tfidf_logreg,"{""features"": ""tfidf word(1,2) + tfidf char_wb(3,5)"", ""clf"": ""LogisticRegression"", ""C"": 1, ""class_weight"": ""balanced"", ""max_iter"": 1000, ""C_grid"": [0.3, 1, 3], ""data"": ""train=4348 val=513 test=617 de_train=244 de_test=104""}",42,0.9945,0.9757,0.9511,0.0256
2026-09-09,baseline_tfidf_logreg,"{""features"": ""tfidf word(1,2) + tfidf char_wb(3,5)"", ""clf"": ""LogisticRegression"", ""C"": 3, ""class_weight"": ""balanced"", ""max_iter"": 1000, ""C_grid"": [0.3, 1, 3], ""url_token"": true, ""data"": ""train=4408 val=513 test=617 de_train=304 de_test=104""}",42,0.9986,0.9789,0.9568,0.0171
2026-09-09,baseline_tfidf_logreg_nourl,"{""features"": ""tfidf word(1,2) + tfidf char_wb(3,5)"", ""clf"": ""LogisticRegression"", ""C"": 1, ""class_weight"": ""balanced"", ""max_iter"": 1000, ""C_grid"": [0.3, 1, 3], ""url_token"": false, ""data"": ""train=4408 val=513 test=617 de_train=304 de_test=104""}",42,0.9955,0.9773,0.9539,0.0214
2026-09-10,baseline_tfidf_logreg_thr0.22,"{""base_model"": ""baseline_tfidf_logreg"", ""threshold"": 0.22, ""tuned_on"": ""val (English only)"", ""criterion"": ""max recall s.t. FPR <= 0.02"", ""val_at_threshold"": {""recall"": 0.9683, ""fpr"": 0.02, ""f1"": 0.9173}}",42,0.9816,0.9595,0.9216,0.0491
2026-09-10,baseline_tfidf_logreg_nourl_thr0.32,"{""base_model"": ""baseline_tfidf_logreg_nourl"", ""threshold"": 0.32, ""tuned_on"": ""val (English only)"", ""criterion"": ""max recall s.t. FPR <= 0.02"", ""val_at_threshold"": {""recall"": 0.9683, ""fpr"": 0.02, ""f1"": 0.9173}}",42,0.9766,0.9627,0.9274,0.0449
2026-09-10,ensemble_or_tuned,"{""rule"": ""phishing if ANY model >= its tuned threshold"", ""members"": {""baseline_tfidf_logreg"": 0.22, ""baseline_tfidf_logreg_nourl"": 0.32}, ""tuned_on"": ""val (English only)""}",42,0.9746,0.9579,0.9187,0.0513
