date,model,params,seed,train_acc,test_acc,f1,fpr
2026-09-09,baseline_tfidf_logreg,"{""features"": ""tfidf word(1,2) + tfidf char_wb(3,5)"", ""clf"": ""LogisticRegression"", ""C"": 3, ""class_weight"": ""balanced"", ""max_iter"": 1000, ""C_grid"": [0.3, 1, 3]}",42,0.9995,0.9922,0.9677,0.0022
2026-09-09,baseline_tfidf_logreg,"{""features"": ""tfidf word(1,2) + tfidf char_wb(3,5)"", ""clf"": ""LogisticRegression"", ""C"": 1, ""class_weight"": ""balanced"", ""max_iter"": 1000, ""C_grid"": [0.3, 1, 3], ""data"": ""train=4348 val=513 test=617 de_train=244 de_test=104""}",42,0.9945,0.9757,0.9511,0.0256
2026-09-09,baseline_tfidf_logreg,"{""features"": ""tfidf word(1,2) + tfidf char_wb(3,5)"", ""clf"": ""LogisticRegression"", ""C"": 3, ""class_weight"": ""balanced"", ""max_iter"": 1000, ""C_grid"": [0.3, 1, 3], ""url_token"": true, ""data"": ""train=4408 val=513 test=617 de_train=304 de_test=104""}",42,0.9986,0.9789,0.9568,0.0171
2026-09-09,baseline_tfidf_logreg_nourl,"{""features"": ""tfidf word(1,2) + tfidf char_wb(3,5)"", ""clf"": ""LogisticRegression"", ""C"": 1, ""class_weight"": ""balanced"", ""max_iter"": 1000, ""C_grid"": [0.3, 1, 3], ""url_token"": false, ""data"": ""train=4408 val=513 test=617 de_train=304 de_test=104""}",42,0.9955,0.9773,0.9539,0.0214
2026-09-10,distilbert_multilingual,"{""model"": ""distilbert-base-multilingual-cased"", ""epochs"": 3, ""lr"": 2e-05, ""batch"": 16, ""max_len"": 128, ""best_checkpoint_by"": ""val_f1"", ""fp16"": true}",42,0.9959,0.9757,0.9477,0.0043
